Id_plot,Location,Plots,Treatment,Date,ME,MI,PAT,MIN,GAL
CBO_p06o,CBO,6,open,2019,0.531915,0.744681,0.61702128,0.106383,0
CBO_p09o,CBO,9,open,2019,1,0.727273,0.5,0,0
CBO_p09c,CBO,9,closed,2017,,,,,
CBO_p04c,CBO,4,closed,2019,0.56,0.32,0.16,0.16,0.08
CBO_p05c,CBO,5,closed,2019,0.825,0.575,0.25,0.075,0
CBO_p11o,CBO,11,open,2019,0.3125,0.854167,0.77083333,0.1041667,0
CAR_p12o,CAR,12,open,2019,0.740741,0.481481,1.40740741,0.037037,0
ITA_p06o,ITA,6,open,2019,1,0.652174,0.91304348,0,0
ITA_p15o,ITA,15,open,2019,0.8125,0.375,0.9375,0.125,0
VGM_p07c,VGM,7,closed,2019,0.862745,0.666667,0.03921569,0.0196078,0
CBO_p01o,CBO,1,open,2017,,,,,
CBO_p11o,CBO,11,open,2017,,,,,
CBO_p12o,CBO,12,open,2017,,,,,
CBO_p14o,CBO,14,open,2017,,,,,
VGM_p04o,VGM,4,open,2017,,,,,
VGM_p12o,VGM,12,open,2017,,,,,
CBO_p01c,CBO,1,closed,2019,1.060606,0.939394,0.63636364,0.2121212,0
CBO_p06c,CBO,6,closed,2019,0.567568,0.945946,0.54054054,0.0540541,0
CBO_p12c,CBO,12,closed,2019,1.5,0.9,0.33333333,0.1,0.03333333
CBO_p14o,CBO,14,open,2019,1.294118,0.705882,0.38235294,0.0588235,0
CBO_p15o,CBO,15,open,2019,0.733333,0.966667,1.2,0.1333333,0.03333333
CBO_p15c,CBO,15,closed,2019,0.868421,0.5,0.15789474,0.1315789,0
CAR_p12c,CAR,12,closed,2019,0.566667,0.233333,0.9,0,0.03333333
CAR_p14c,CAR,14,closed,2019,1.272727,0.340909,0.25,0,0
ITA_p10o,ITA,10,open,2019,0.2,0.7,0.3,0.6,0
ITA_p12o,ITA,12,open,2019,0.818182,0.818182,1.27272727,0,0
ITA_p14o,ITA,14,open,2019,1.272727,0.454545,0.72727273,0,0
VGM_p06o,VGM,6,open,2019,1,0.641509,0.18867925,0.0377358,0
VGM_p06c,VGM,6,closed,2019,0.714286,0.510204,0.10204082,0.0408163,0
VGM_p08o,VGM,8,open,2019,0.65625,0.65625,0.09375,0.03125,0
VGM_p08c,VGM,8,closed,2019,0.637931,0.844828,0.06896552,0.137931,0.01724138
VGM_p10o,VGM,10,open,2019,1,0.761905,0.80952381,0.0952381,0
VGM_p14c,VGM,14,closed,2019,0.758621,0.896552,1.17241379,0.3793103,0.03448276
CBO_p04o,CBO,4,open,2017,,,,,
CBO_p09o,CBO,9,open,2017,,,,,
CBO_p12c,CBO,12,closed,2017,,,,,
CBO_p14c,CBO,14,closed,2017,,,,,
CBO_p15o,CBO,15,open,2017,,,,,
CAR_p03o,CAR,3,open,2017,,,,,
ITA_p02o,ITA,2,open,2017,,,,,
VGM_p07c,VGM,7,closed,2017,,,,,
VGM_p11o,VGM,11,open,2017,,,,,
CBO_p01o,CBO,1,open,2019,0.707317,1.146341,0.65853659,1.097561,0.01219512
CBO_p02o,CBO,2,open,2019,0.75,0.722222,0.55555556,0,0
CBO_p02c,CBO,2,closed,2019,0.75,0.714286,0.64285714,0.4642857,0
CBO_p05o,CBO,5,open,2019,0.933333,1.066667,1.2,0.1333333,0
CBO_p09c,CBO,9,closed,2019,0.775,0.825,0.425,0.05,0
CBO_p11c,CBO,11,closed,2019,0.804348,0.673913,0.7826087,0.1956522,0
CAR_p01o,CAR,1,open,2019,0.7,0.3,0.55,0.1,0
CAR_p02o,CAR,2,open,2019,0.978261,0.152174,0.82608696,0.0434783,0
CAR_p03o,CAR,3,open,2019,1.333333,0.333333,1.5,0,0
CAR_p03c,CAR,3,closed,2019,1.108696,0.043478,0.26086957,0,0
CAR_p04c,CAR,4,closed,2019,0.818182,0.090909,0.98484849,0,0.01515152
CAR_p05o,CAR,5,open,2019,1,0,0.48888889,0.0222222,0
