Id_plot,Location,Plots,Treatment,Date,leaf_thickness,seed_mass,leaf_area,sla,seed_length,carbon_nitro,leaf_damage
CBO_p06o,CBO,6,open,2019,,,,,,,1.808510638
CBO_p09o,CBO,9,open,2019,,,,,,,1.909090909
CBO_p09c,CBO,9,closed,2017,2.43,324.76,19999.22,10845.44,12.79,12.24,
CBO_p04c,CBO,4,closed,2019,,,,,,,1.16
CBO_p05c,CBO,5,closed,2019,,,,,,,1.7
CBO_p11o,CBO,11,open,2019,,,,,,,1.708333333
CAR_p12o,CAR,12,open,2019,,,,,,,2.296296296
ITA_p06o,ITA,6,open,2019,,,,,,,2.130434783
ITA_p15o,ITA,15,open,2019,,,,,,,1.8125
VGM_p07c,VGM,7,closed,2019,,,,,,,1.470588235
CBO_p01o,CBO,1,open,2017,0.22,758.31,10360.87,8623.69,12.62,14.67,
CBO_p11o,CBO,11,open,2017,3,783.87,6118.77,12263.05,14.74,17.27,
CBO_p12o,CBO,12,open,2017,3.08,484.82,11484.25,24453.48,12.33,15.25,
CBO_p14o,CBO,14,open,2017,1.46,300.97,10565.37,16.68,14.36,13.33,
VGM_p04o,VGM,4,open,2017,1.22,1839.8,11099.91,33035.07,10.48,13.21,
VGM_p12o,VGM,12,open,2017,0.21,720.33,8038.95,21.71,9.7,14.28,
CBO_p01c,CBO,1,closed,2019,,,,,,,2.303030303
CBO_p06c,CBO,6,closed,2019,,,,,,,1.918918919
CBO_p12c,CBO,12,closed,2019,,,,,,,2.366666667
CBO_p14o,CBO,14,open,2019,,,,,,,2.205882353
CBO_p15o,CBO,15,open,2019,,,,,,,2.6
CBO_p15c,CBO,15,closed,2019,,,,,,,1.342105263
CAR_p12c,CAR,12,closed,2019,,,,,,,1.7
CAR_p14c,CAR,14,closed,2019,,,,,,,1.772727273
ITA_p10o,ITA,10,open,2019,,,,,,,1.5
ITA_p12o,ITA,12,open,2019,,,,,,,2.181818182
ITA_p14o,ITA,14,open,2019,,,,,,,1.909090909
VGM_p06o,VGM,6,open,2019,,,,,,,1.754716981
VGM_p06c,VGM,6,closed,2019,,,,,,,1.244897959
VGM_p08o,VGM,8,open,2019,,,,,,,1.3125
VGM_p08c,VGM,8,closed,2019,,,,,,,1.603448276
