"","Id_plot","Location","Plots","Treatment","Date","Longitude","Latitude","Elevation","Richness","Abundance","D_Shannon","D_Simpson","Canopy_cover","N_M_Trees_adult","N_M_Eedulis_adult","effort_cam_day_summed","med_lar_mamm_spp_rich","hbvr_body_size_kg"
"1","CBO_p06o","CBO",6,"open",2019,-47.987841,-24.064103,807.0578,11,55,2.18318727,0.858024691,70.09,23,0,91,0,0
"2","CBO_p09o","CBO",9,"open",2019,-47.98609,-24.071048,727.443481,9,23,1.917215519,0.815,69.88,20,0,170,4,220
"3","CBO_p09c","CBO",9,"closed",2017,-47.986205,-24.071008,727.91449,9,38,2.009709182,0.8359375,NA,22,1,78,0,0
"4","CBO_p04c","CBO",4,"closed",2019,-47.990394,-24.066304,823.626648,6,26,1.676987774,0.790123457,67.88,29,0,119,0,0
"5","CBO_p05c","CBO",5,"closed",2019,-47.989469,-24.065634,771.00354,5,48,1.418483662,0.72,72.43,17,0,179,0,0
"6","CBO_p11o","CBO",11,"open",2019,-47.985698,-24.062906,804.268616,8,50,1.64669003,0.757201646,64.4,21,1,174,5,19.8
"7","CAR_p12o","CAR",12,"open",2019,-47.931812,-25.107849,136.644623,9,32,1.607575155,0.67,66.59,21,2,109,1,29
"8","ITA_p06o","ITA",6,"open",2019,-45.087303,-23.317256,1010.29,6,25,1.671595278,0.792899408,79.38,28,11,204,1,29
"9","ITA_p15o","ITA",15,"open",2019,-45.072431,-23.310436,1078.85,2,15,0.693147181,0.5,62.19,18,3,214,6,29
"10","VGM_p07c","VGM",7,"closed",2019,-45.223619,-23.434314,786.743164,8,51,1.749378502,0.77914952,74.26,22,7,151,0,0
"11","CBO_p01o","CBO",1,"open",2017,-47.993563,-24.067067,728.286133,9,64,1.861343714,0.807901235,NA,20,0,35,1,0
"12","CBO_p11o","CBO",11,"open",2017,-47.985698,-24.062906,804.268616,9,51,1.746434916,0.770760548,NA,21,1,89,1,220
"13","CBO_p12o","CBO",12,"open",2017,-47.986058,-24.064589,746.259644,6,24,1.707475435,0.802768166,NA,21,0,61,2,21
"14","CBO_p14o","CBO",14,"open",2017,-47.983904,-24.062175,745.258972,6,23,1.527052664,0.716553288,NA,9,3,88,3,57.18181818
"15","VGM_p04o","VGM",4,"open",2017,-45.233723,-23.43636,761.651245,7,62,1.470131358,0.66962963,NA,28,0,86,2,220
"16","VGM_p12o","VGM",12,"open",2017,-45.212231,-23.43479,794.839539,8,38,1.703559934,0.745,NA,30,10,70,2,0
"17","CBO_p01c","CBO",1,"closed",2019,-47.993587,-24.067012,730.712769,12,37,2.363921103,0.892733564,72.22,26,0,177,0,0
"18","CBO_p06c","CBO",6,"closed",2019,-47.987782,-24.064063,805.889343,7,42,1.316786832,0.6016,70.62,20,2,101,0,0
"19","CBO_p12c","CBO",12,"closed",2019,-47.986035,-24.06442,747.127075,6,44,1.059853552,0.517006803,73.2,28,3,164,0,0
"20","CBO_p14o","CBO",14,"open",2019,-47.983904,-24.062175,745.258972,4,37,1.073542846,0.5625,68.66,9,3,178,2,220
"21","CBO_p15o","CBO",15,"open",2019,-47.982107,-24.061303,747.095642,4,33,1.236684869,0.680555556,63.57,23,2,178,3,29
"22","CBO_p15c","CBO",15,"closed",2019,-47.982419,-24.061552,745.314453,8,41,1.783206839,0.789256198,71.24,22,10,130,0,0
