buffer,lat,long,n_sp,sp_flo,sp_sav,pres_inv,tam_medio_femur,pct_flo,conect,matriz,tam_torax_medio
b01,-23.646,-47.471,7,3,4,ausente,1.172,46,39.5,cana,2.403770880854566
b02,-23.539,-47.46,6,5,1,ausente,1.171,57,42.4,pasto,2.235445257881834
b03,-23.539,-47.458,11,8,3,presente,1.154,78,69.9,pasto,2.961839756780785
b04,-23.501,-47.396,8,6,2,presente,1.075,71,58.8,eucalipto,2.430703600964974
b05,-23.49,-46.364,7,5,2,presente,1.157,59,44,cana,2.1509739710723936
b06,-23.481,-47.111,3,1,2,ausente,1.259,12,22.3,pasto,1.991720498552536
b07,-23.478,-47.082,9,6,3,presente,1.006,68,57.8,eucalipto,2.0962489128844033
b08,-23.457,-47.073,9,6,3,presente,1.09,53,41.2,eucalipto,2.3649006882409003
b09,-23.457,-47.073,8,5,3,ausente,1.165,49,39.9,cana,2.1300281943147397
b10,-23.421,-46.025,6,2,4,ausente,1.197,29,33.3,cana,2.4233619902060415
b11,-23.414,-47.013,5,1,4,ausente,1.146,18,32.3,cana,2.1611219600606826
b12,-23.398,-47.009,4,1,3,ausente,1.101,19,33,eucalipto,2.225385439240764
b13,-23.394,-46.996,11,9,2,presente,1.104,84,75.4,pasto,2.059756131258191
b14,-23.384,-46.967,8,7,1,presente,1.162,65,45.5,cana,3.0275018311778727
b15,-23.376,-46.946,12,10,2,presente,1.049,78,75.2,eucalipto,2.3614922438374357
b16,-23.36,-46.789,9,5,4,ausente,1.189,29,34.4,pasto,2.3281971332054976
b17,-23.357,-46.565,5,2,3,ausente,1.235,17,30.4,pasto,1.8585205779445944
b18,-23.356,-46.527,9,6,3,ausente,1.146,62,45.5,pasto,2.4754435292953363
b19,-23.332,-46.524,4,1,3,ausente,1.209,13,24.4,cana,1.992143778781347
b20,-23.332,-46.295,10,9,1,presente,1.042,87,80.7,eucalipto,2.021880875756259
b21,-23.376,-47.364,10,8,2,presente,1.148,65,50.4,eucalipto,2.573749435003088
