n_especies_mamiferos,cobertura_floresta,elevacao
0,28.75775201,899.9834389
9,78.83051354,499.2353105
2,40.89769218,732.9195505
2,88.3017404,1431.710741
5,94.04672843,724.3535958
1,4.555649939,1335.525333
1,52.8105488,1371.65728
3,89.24190444,913.1024735
1,55.14350145,616.0346648
2,45.66147353,220.6420364
2,95.68333453,1402.949705
1,45.33341562,451.84335
4,67.75706355,91.08085732
2,57.2633402,1421.59041
0,10.29246827,1080.89441
9,89.98249704,213.4414434
1,24.60877344,823.9269841
0,4.205953353,1431.136858
2,32.79207193,878.2250297
10,95.45036491,606.7654226
2,88.95393161,971.840219
8,69.28034062,479.7309256
5,64.05068138,461.5800163
10,99.42697766,329.6514469
1,65.57057991,554.2332988
1,70.85304682,1476.328805
4,54.40660247,231.3034512
5,59.41420204,136.5659998
3,28.91597373,212.8603617
2,14.71136473,1035.010652
5,96.30242325,928.8847251
2,90.22990451,1337.091176
2,69.07052784,1009.498639
0,79.54674177,1105.616607
0,2.461368451,781.7035887
1,47.77959711,989.7576745
1,75.84595375,1232.70819
2,21.64079358,1179.422328
0,31.81810076,1469.732876
2,23.16257854,659.1473044
1,14.28000224,467.5533031
2,41.45463358,614.2124289
2,41.37243263,15.70066775
3,36.88454509,275.774286
0,15.24447477,1264.093978
2,13.88060634,346.7426731
1,23.30340995,358.6499335
8,46.59624503,115.036748
5,26.59726404,368.585517
4,85.78277153,1098.202808
0,4.583116667,1271.179748
1,44.22000742,746.2909006
5,79.89248456,581.8635448
1,12.189926,369.6734912
4,56.09479838,166.644692
2,20.65313896,584.9916529
0,12.75316502,857.902971
5,75.33078643,325.3391442
5,89.50453592,667.152003
4,37.44627759,326.9860031
6,66.51151946,753.4493449
2,9.484066092,530.8568578
2,38.39696378,974.9777382
4,27.43836446,562.0709349
5,81.46400389,533.1680712
2,44.85163414,800.5319182
2,81.0064353,1110.501541
5,81.23895095,331.6544067
1,79.43423211,619.1191779
3,43.98316876,398.5300303
5,75.44751586,944.9595802
0,62.92211316,275.7427362
0,71.01824014,1295.466167
0,0.062477333,1119.852006
2,47.53165741,1002.426975
2,22.01188852,927.0268099
5,37.98165377,558.3570903
2,61.27710033,794.7535288
0,35.17979092,1312.023514
1,11.11354243,872.6251497
1,24.36194727,1259.651647
2,66.80555874,468.6722474
1,41.76467797,1062.435483
4,78.8195834,397.5267091
0,10.28646443,891.5147911
1,43.48927415,721.9347007
4,98.495698,397.5490972
3,89.30511144,846.8856522
0,88.64690608,1369.782335
1,17.50526503,1352.811584
1,13.06956916,411.2499323
1,65.3101925,482.2241346
0,34.35164723,1478.461327
4,65.6758128,929.9899653
1,32.03732425,1405.971134
2,18.76911193,699.7990535
9,78.22943013,610.2488899
0,9.359498671,988.8454863
1,46.67790416,228.5199253
3,51.15054599,859.3005873
