"","Id_plot","Location","Plots","Treatment","Date","Longitude","Latitude","Elevation","Richness","Abundance","D_Shannon","D_Simpson","Canopy_cover","N_M_Trees_adult","N_M_Eedulis_adult","effort_cam_day_summed","med_lar_mamm_spp_rich","hbvr_body_size_kg"
"1","CBO_p06o","CBO",6,"open",2019,-47.987841,-24.064103,807.0578,11,55,2.18318727,0.858024691,70.09,23,0,91,0,0
"2","CBO_p09o","CBO",9,"open",2019,-47.98609,-24.071048,727.443481,9,23,1.917215519,0.815,69.88,20,0,170,4,220
"4","CBO_p04c","CBO",4,"closed",2019,-47.990394,-24.066304,823.626648,6,26,1.676987774,0.790123457,67.88,29,0,119,0,0
"5","CBO_p05c","CBO",5,"closed",2019,-47.989469,-24.065634,771.00354,5,48,1.418483662,0.72,72.43,17,0,179,0,0
"6","CBO_p11o","CBO",11,"open",2019,-47.985698,-24.062906,804.268616,8,50,1.64669003,0.757201646,64.4,21,1,174,5,19.8
"17","CBO_p01c","CBO",1,"closed",2019,-47.993587,-24.067012,730.712769,12,37,2.363921103,0.892733564,72.22,26,0,177,0,0
"18","CBO_p06c","CBO",6,"closed",2019,-47.987782,-24.064063,805.889343,7,42,1.316786832,0.6016,70.62,20,2,101,0,0
"19","CBO_p12c","CBO",12,"closed",2019,-47.986035,-24.06442,747.127075,6,44,1.059853552,0.517006803,73.2,28,3,164,0,0
"20","CBO_p14o","CBO",14,"open",2019,-47.983904,-24.062175,745.258972,4,37,1.073542846,0.5625,68.66,9,3,178,2,220
"21","CBO_p15o","CBO",15,"open",2019,-47.982107,-24.061303,747.095642,4,33,1.236684869,0.680555556,63.57,23,2,178,3,29
"22","CBO_p15c","CBO",15,"closed",2019,-47.982419,-24.061552,745.314453,8,41,1.783206839,0.789256198,71.24,22,10,130,0,0
"43","CBO_p01o","CBO",1,"open",2019,-47.993563,-24.067067,728.286133,9,90,1.176304823,0.507497116,67.39,20,0,177,6,21
"44","CBO_p02o","CBO",2,"open",2019,-47.992218,-24.067741,739.851257,7,37,1.83437197,0.82,66.94,20,3,132,2,21
"45","CBO_p02c","CBO",2,"closed",2019,-47.992151,-24.067649,743.490845,7,30,1.846220219,0.826446281,65.92,21,4,83,0,0
"46","CBO_p05o","CBO",5,"open",2019,-47.989345,-24.065651,772.302551,6,19,1.609437912,0.76,77.31,14,0,179,4,29
"47","CBO_p09c","CBO",9,"closed",2019,-47.986205,-24.071008,727.91449,9,45,2.068513497,0.858131488,70.62,22,1,197,0,0
"48","CBO_p11c","CBO",11,"closed",2019,-47.985811,-24.062904,802.03241,12,47,2.0249132,0.798469388,61.18,24,3,165,0,0
"100","CBO_p14c","CBO",14,"closed",2019,-47.984013,-24.06219,748.46936,10,57,2.149391658,0.866213152,73.34,20,4,178,0,0
"163","CBO_p04o","CBO",4,"open",2019,-47.990493,-24.066214,826.624512,6,25,1.671595278,0.792899408,64.56,36,0,132,1,0
"164","CBO_p12o","CBO",12,"open",2019,-47.986058,-24.064589,746.259644,5,73,0.599188194,0.266803841,71.97,21,0,59,1,15
