ID,City,ID_City,Lat,Long,Forest_cover,Richness_total
P01,Paranapanema,PAR,-23.347202,-48.792991,31.84,12
P02,Alvinlandia,ALV,-22.474961,-49.745232,25.23,13
P03,Cesarino_Afonso_EEC,CSA,-22.227009,-52.227466,74.6,9
P04,Piracaia,PIC,-23.013777,-46.204182,68.63,13
P05,Piacatu,PIA,-21.591378,-50.680331,78.5,15
P06,Piracicaba,PIR,-22.766981,-47.820128,55.25,14
P07,Cristais_Paulista,CPT,-20.379832,-47.384203,34.79,13
P08,Ipero_FLONA,IPO,-23.443846,-47.638283,98.4,7
P09,Buritizal,BUR,-20.227689,-47.742156,47.05,8
P10,Valentim_Gentil,VGL,-20.398004,-50.152154,13.21,12
P11,Charqueada,CHA,-22.452002,-47.818782,50.55,9
P12,Sao_Pedro_Turvo,SPT,-22.684989,-49.619231,64.8,9
P13,Anhembi,ANH,-22.849218,-48.241028,37.57,10
P14,Corumbatai,COR,-22.249638,-47.613615,7.96,11
P15,Cunha,CUN,-23.032504,-44.956943,21.09,8
P16,Itatinga,ITA,-23.162279,-48.624395,45.38,17
P17,Baguari,BAG,-22.90552,-47.968532,19.42,13
P18,Botucatu_Edgardia,BOT,-22.811613,-48.414894,62.73,11
P19,Monteiro_Lobato,MLB,-22.954985,-45.796613,83.5,10
P20,Atibaia,ATI,-23.190747,-46.508544,93.39,9
