site,id_camera,id_camtrap_gps,date_installation,date_retrieving,id_trail,latr_id,latitude,longitude,id_video,date_video_mmddyyyy,time_video,total_time_sec,time_specific_sec,order,family,genus,scientific_name,interaction_latrine,interaction,tapir_defecating,x_adults,x_juveniles,observation
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (11),2021-12-21T00:00:00Z,1899-12-31T12:05:23Z,10,NA,Artiodactyla ,Cervidae,Mazama,Mazama_sp,0,non-foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (12),2021-12-22T00:00:00Z,1899-12-31T06:20:15Z,10,10,Rodentia,Sciuridae,Guerlinguetus,Guerlinguetus_brasiliensis,1,foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (20-21),2022-01-08T00:00:00Z,1899-12-31T18:50:37Z,10,NA,Artiodactyla ,Tapiridae,Tapirus,Tapirus_terrestris,1,defecating,1,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (22),2022-01-11T00:00:00Z,1899-12-31T01:22:21Z,10,NA,Didelphimorphia,Didelphidae,Marmosops,Marmosops_incanus,0,non-foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (23),2022-01-11T00:00:00Z,1899-12-31T03:18:14Z,10,NA,Didelphimorphia,Didelphidae,Marmosops,Marmosops_incanus,0,non-foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (26),2022-01-14T00:00:00Z,1899-12-31T11:30:01Z,10,10,Tinamiformes,Tinamidae,Tinamus,Tinamus_solitarius,1,foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (27),2022-01-14T00:00:00Z,1899-12-31T11:30:19Z,10,NA,Tinamiformes,Tinamidae,Tinamus,Tinamus_solitarius,0,non-foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (29),2022-01-15T00:00:00Z,1899-12-31T07:51:42Z,10,3,Columbiformes,Columbidae,Geotrygon,Geotrygon_montana,1,foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_dec-jan (30),2022-01-17T00:00:00Z,1899-12-31T04:14:31Z,10,NA,Didelphimorphia,Didelphidae,Marmosops,Marmosops_incanus,0,non-foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_jan-feb (6),2022-01-17T00:00:00Z,1899-12-31T20:27:09Z,10,NA,Didelphimorphia,Didelphidae,Metachirus,Metachirus_nudicaudatus,0,non-foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_jan-feb (8),2022-01-18T00:00:00Z,1899-12-31T23:16:26Z,10,NA,Didelphimorphia,Didelphidae,Didelphis,Didelphis_aurita,0,non-foraging,0,1,0,NA
CBSP,#68,Camtrap_04,2021-12-08T00:00:00Z,2022-06-26T00:00:00Z,Taquaral,LATR_002,-24.0635,-47.987749,LATR_002_jan-feb (9),2022-01-18T00:00:00Z,1899-12-31T23:17:03Z,10,NA,Didelphimorphia,Didelphidae,Didelphis,Didelphis_aurita,0,non-foraging,0,1,0,NA
